Property Name,Organizational Sponsor/Owner,Address,Website
Northport Apartments,Boulder Housing Partners,1133 Portland Place,https://boulderhousing.org/property/northport
Red Oak Park Apartments,Boulder Housing Partners,2637 Valmont Rd.,https://boulderhousing.org/property/red-oak-park
Sanitas Place Apartments,Boulder Housing Partners,3640 Broadway,https://boulderhousing.org/property/sanitas-place
Palo Park Apartments,Boulder Housing Partners,4525 Palo Parkway,https://boulderhousing.org/property/palo-park
Tantra Lake Apartments,Boulder Housing Partners,1000 Moorhead Circle,https://boulderhousing.org/property/tantra-lake-apartments-boulder-affordable-rentals
Twin Pines Apartments,Boulder Housing Partners,1700 22nd  Street,https://boulderhousing.org/property/twin-pines
Vistoso Apartments,Boulder Housing Partners,4500 Baseline Road,https://boulderhousing.org/property/vistoso
Walnut Place Apartments,Boulder Housing Partners,1940 Walnut Street,https://boulderhousing.org/property/walnut-place
Westview Apartments,Boulder Housing Partners,4600 Broadway Street,https://boulderhousing.org/property/westview-apartments
Whittier Apartments,Boulder Housing Partners,1946 Walnut Street,https://boulderhousing.org/property/whittier-apartments
Woodlands Apartments,Boulder Housing Partners,2685 Mapleton Ave.,https://boulderhousing.org/property/woodlands
Boulder Shelter for the Homeless,Boulder Shelter for the Homeless,4869 Broadway,http://bouldershelter.org/
Ready to Work,Bridge House,4747 Table Mesa Drive,https://boulderbridgehouse.org/what-we-do/ready-to-work/
Depot Square,Avanath Realty,3195 Pearl Parkway,https://depotsquareapts.com/
Dunn Memorial,Archdiocesan Housing Management Services,"4805 Baseline, Boulder CO",http://www.archdiocesanhousing.org/properties/dunn-memorial-housing
16th St North Boulder Transitional Housing,Emergency Family Assistance Association,1575 Yarmouth Ave,http://www.efaa.org/about-efaa/our-mission-2/housing/
Golden West Senior Living,Golen West Manor,1055 Adams Circle,http://gwboulder.org/
Ledges 29th St.,Allison Management / Thistle Communities,"2810, 2820, 2840, 2850 29th Street, Boulder, CO 80301",https://thistle.us/property/ledges-at-29th/
Lumin 28th St,Allison Management / Thistle Communities,28th and Bluff,https://thistle.us/property/lumine-at-28th/
Mary Sandoe House,"Mary Sandoe House, Inc.",1244 Gillespie Dr,http://themarysandoehouse.com/
Presbyterian Manor,NA,1050 Arapahoe Ave,
San Juan del Centro,NA,3100 34th St,
The HUB,NA,1853 26th St,https://www.thehubboulder.com/
Correll Apartments,Thistle,"735, 745, & 757 20th St.",https://thistle.us/property/correll-apartments/
Fairways Apartments,Thistle,5610-5640 Arapahoe,https://thistle.us/property/fairways-apartments/
Parkside Apartments,Thistle,5007-5095 Valmont Rd,https://thistle.us/property/parkside-village-townhomes/
Pinewood Apartments,Thistle,676 22nd St, https://thistle.us/property/pinewood-apartments/
Sage Court Apartments,Thistle,2965 Valmont Rd,https://thistle.us/property/sage-court-apartments/
Uptown Broadway Apartments,Thistle,"4565 & 4595 14th St., 1335 Rosewood, 1340 Yarmouth",https://thistle.us/property/uptown-broadway-apartments/
Valmont Square Apartments,Thistle,"3060, 3080, & 3110 29th St",https://thistle.us/property/valmont-square-apartments/
Spruce Street,Thistle,2219 Spruce St,https://thistle.us/property/spruce-street/
Laguna Place Apartments,Thistle,6000 Spine Road,https://thistle.us/property/mapleton-mobile-home-park/#
Mapleton Mobile Home Park,Thistle,4480 Laguna Pl,https://thistle.us/property/laguna-place-apartments/
Nest on Osage,Element Properties,4990 Osage Drive,http://www.elementproperties.com/portfolio/nest-on-osage/
Spark west,Element Properties,3200 Bluff Street,http://www.elementproperties.com/portfolio/spark_west/
Nest on 30th,Element Properties,"2995 Eagle Way,",http://www.elementproperties.com/portfolio/nest-on-30th/
Nest on Thunderbird,Element Properties,4917 Thunderbird Drive,http://www.elementproperties.com/portfolio/nest-on-thunderbird/
18th Street,Imagine!,2875 18th St,https://imaginecolorado.org/
19th Street,Imagine!,1836 19th St,https://imaginecolorado.org/
Foothills,Imagine!,4500 7th St,https://imaginecolorado.org/
Linden Ave,Imagine!,1650 Linden,https://imaginecolorado.org/
Manhattan Drive,Imagine!,435 Manhattan,https://imaginecolorado.org/
Smart Home,Imagine!,1806 Iris Ave,https://imaginecolorado.org/
Tenino Ave,Imagine!,5455 Tenino Ave,https://imaginecolorado.org/
